pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
2905,331,55,250,0,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2906,559,159,354,706,0,155,0,32,0,583,0,0,0,500,0,0,0,0,0,0,108,0,0,386
2907,247,151,691,0,888,0,628,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2963,388,0,19,0,777,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0
2964,319,144,793,0,0,0,765,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2965,57,0,516,0,0,0,308,28,124,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
2966,378,399,0,0,0,0,2982,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2967,433,34,183,0,882,0,196,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0
2968,1122,0,0,0,579,0,0,0,47,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0
2969,0,88,11,0,326,0,223,32,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0
2970,360,11,116,0,85,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2971,356,21,0,0,432,0,309,0,206,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2972,1246,0,493,0,0,0,0,0,0,0,0,0,248,0,187,0,0,0,0,0,0,0,0,0
2973,61,36,7,0,314,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2974,150,0,208,0,121,0,0,3,44,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
2975,0,29,45,0,432,0,0,8,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
2976,239,107,437,0,1433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2977,105,124,4,0,648,0,88,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2978,565,0,117,0,917,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0
2979,189,32,4,0,1426,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2980,506,0,103,0,0,0,261,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,197
2981,35,41,386,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
2982,0,66,3411,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2983,756,0,286,0,279,0,137,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
2984,139,0,17,0,903,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0
2985,139,29,14,20,1044,0,0,0,0,0,0,0,0,177,0,26,0,0,0,0,0,0,0,0
2986,177,0,93,0,139,0,209,0,58,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
2987,249,0,58,0,303,0,215,0,82,18,0,0,0,0,196,0,0,0,0,0,0,0,0,0
2988,395,0,326,0,553,0,323,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0
2989,603,14,103,0,125,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
2990,187,0,13,0,398,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,67
2991,779,44,265,5,379,0,174,0,0,169,0,0,0,225,0,84,0,0,0,0,0,0,0,0
2992,0,388,0,0,0,0,2523,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2993,188,0,2403,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
2994,121,0,0,0,796,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2995,354,0,90,0,12,0,292,0,0,0,25,0,252,0,79,0,0,0,0,0,0,0,0,69
2996,312,30,11,0,831,0,0,0,0,0,0,0,0,0,444,0,0,0,0,0,0,0,0,0
2997,549,0,101,0,224,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2998,400,0,99,0,1220,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2999,143,0,0,0,992,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0
3000,45,14,382,0,660,0,0,0,0,0,0,0,0,24,0,23,0,0,0,0,0,0,0,0
3001,344,161,0,0,468,0,898,6,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3002,698,0,168,0,1013,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0
3005,287,0,247,0,308,0,294,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,24,0
3006,554,22,302,0,161,0,465,0,0,0,0,0,0,0,339,0,0,0,0,0,32,0,0,0
3007,368,27,3,0,1256,0,34,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0
3008,283,56,653,0,0,0,0,14,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3009,1538,321,0,0,0,0,1840,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3011,141,59,0,0,731,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3012,265,88,6,0,1318,0,13,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0
