pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
A0TN,0,288,0,3112,0,0,0,0,0,0,791,0,0,19480,0,0,0,0,0,0,0,0,0,0
A0VL,1482,2273,101,0,0,0,179,49,0,0,2067,0,0,0,0,0,0,0,0,0,0,0,0,0
A1BF,0,3034,0,1711,0,0,0,0,0,0,1852,0,0,46759,0,0,0,0,0,0,0,0,0,0
A1BJ,685,4114,0,0,1939,0,0,0,0,0,4455,56,0,0,0,0,0,0,0,0,0,0,0,0
A1BN,1468,1580,2524,0,0,0,0,51,0,60,2218,0,0,106,0,0,0,0,0,0,0,0,0,0
A1M8,2132,1293,1520,0,537,92,0,0,0,472,1481,0,0,309,0,0,0,0,0,24,0,0,0,0
A1M9,2598,1099,0,0,682,0,0,0,0,0,496,0,0,304,0,0,0,0,0,0,0,0,0,0
A1MI,0,3582,0,5806,0,0,0,0,0,0,0,0,0,40977,0,0,0,0,0,0,0,0,0,0
A1ML,0,1878,0,7180,0,0,0,0,0,0,1096,0,0,25021,0,7,0,0,0,0,0,0,0,0
A1MQ,0,0,0,9516,0,0,0,0,0,0,0,9,0,29546,0,0,0,0,0,0,0,0,0,0
A2KJ,1458,3144,265,0,37,0,1304,73,0,392,1609,0,0,0,0,0,0,0,0,0,0,0,0,0
A2LT,952,449,0,0,1628,0,0,39,0,0,241,0,0,753,0,0,0,0,0,57,0,0,0,0
A2LV,1931,1651,7,0,2698,0,467,0,0,0,1026,0,0,1803,0,0,0,0,0,0,0,0,0,0
A2LY,875,2777,1388,0,0,0,0,132,0,0,3195,0,0,206,0,0,0,0,0,0,0,0,0,0
A2PK,1293,274,0,0,2251,0,0,0,0,0,221,63,0,107,0,0,0,0,0,0,0,0,0,0
A2RE,784,284,0,1648,376,0,0,24,0,0,0,0,0,1934,0,7,0,0,0,0,0,0,0,0
A2RL,2110,274,0,474,0,4,92,71,0,0,0,0,0,1098,0,29,0,0,0,0,0,0,0,0
A2RM,0,798,0,9322,0,0,0,0,0,0,1357,0,0,40037,0,1060,0,0,0,0,0,0,0,0
