pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
2677,6325,0,0,0,2247,0,1903,1759,0,0,596,0,21,2987,0,0,0,0,0,0,0,0,0,0
2680,5617,0,0,0,0,0,86,59,0,0,0,0,0,4519,0,0,0,0,0,0,0,0,0,0
2681,6280,0,172,0,0,0,3558,152,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0
2683,5635,0,0,0,0,0,0,4685,0,0,0,0,0,5036,0,0,0,0,0,0,0,0,0,0
2684,6903,440,0,0,214,0,42,72,0,0,0,0,0,3054,0,0,0,0,0,0,0,0,0,0
2689,3715,279,1429,0,1844,0,5690,2196,0,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0
2691,1343,0,0,11790,0,2300,4890,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3514,8054,0,0,0,0,0,224,322,0,0,0,0,0,2859,0,0,0,0,0,0,0,0,0,0
3516,0,0,98,0,0,66797,0,1649,0,0,0,7254,22417,0,0,0,0,0,0,0,0,0,0,0
3518,0,0,0,0,0,42033,1427,927,0,131,0,6229,0,3825,0,0,0,0,0,0,0,0,0,0
3529,6564,270,3014,0,0,0,789,2572,0,0,0,0,0,2948,0,0,0,0,0,0,0,0,0,0
3534,7833,246,218,0,0,0,360,342,0,0,0,0,0,2831,0,0,0,0,0,0,0,0,0,0
3555,0,0,0,0,0,0,0,0,0,0,0,0,0,3625,0,0,0,0,0,0,0,0,3938,0
3574,5819,0,0,0,0,0,598,229,0,0,0,0,0,1670,0,0,0,0,0,0,0,0,0,0
3582,4052,0,0,0,0,0,1214,226,0,0,0,0,0,1877,0,0,0,0,0,0,0,0,0,0
3593,4203,0,2373,0,0,0,2023,8327,0,0,1481,0,0,0,0,0,0,0,0,0,0,0,0,0
3664,9058,313,0,0,0,0,851,198,0,0,0,0,0,4505,0,0,0,0,0,0,0,0,0,0
3666,3830,0,1583,0,0,0,6860,1776,0,0,1634,0,0,0,0,0,0,0,0,0,0,0,1045,0
3685,5056,176,813,0,0,0,2341,434,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0
3727,6338,0,0,0,0,0,1114,1084,0,0,0,327,0,1399,0,0,0,0,0,0,0,0,0,0
3807,3436,377,2272,0,0,0,2246,473,0,0,0,0,179,364,0,0,0,0,0,0,0,0,0,0
3809,0,0,0,0,0,28329,1716,293,0,82,0,2096,0,3625,0,0,0,0,0,0,0,0,0,0
3810,2856,494,0,0,2491,0,2636,121,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0
3885,5102,0,0,0,0,0,815,1438,0,0,0,0,1302,1366,0,0,0,0,0,0,0,0,0,0
3890,2823,0,821,0,0,0,4822,2606,0,1581,1087,0,0,0,0,0,0,0,0,0,0,431,0,0
3896,7956,215,1530,0,0,0,737,1235,0,0,0,0,0,1046,0,0,0,0,0,0,0,0,0,0
