pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
8323,1581,0,159,0,806,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0
8325,1477,0,181,0,684,0,0,0,0,129,0,0,90,0,0,14,0,0,0,0,0,0,0,0
8326,105,0,108,0,226,0,243,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,5,178
8327,295,48,0,0,1773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8328,561,96,90,0,1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8330,683,110,186,0,1870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8331,1710,0,529,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8332,244,84,1,0,1418,0,23,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
8333,62,0,47,0,316,0,117,12,75,0,0,0,0,0,0,0,0,0,0,18,0,0,3,0
8334,649,24,43,0,433,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
8337,504,31,0,0,1105,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
8340,673,0,60,0,394,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8341,1991,293,618,0,162,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0
8342,506,0,63,0,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8343,235,58,213,0,484,0,527,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
8344,117,45,65,0,684,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8346,1632,57,366,0,648,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8405,416,49,86,0,0,0,92,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,18,0
8406,792,111,60,0,1625,0,0,0,0,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8407,305,51,6,0,1712,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0
8409,860,0,15,0,1154,0,0,0,0,0,0,0,286,0,0,16,0,0,0,0,0,0,50,0
8410,325,48,62,0,1878,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
8411,784,51,12,0,1920,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8416,599,68,84,0,2772,53,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8417,566,0,0,0,2606,0,0,0,0,0,90,0,13,0,0,0,0,0,0,0,0,0,0,0
8418,413,105,141,0,1434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8419,777,88,0,0,38,0,401,0,35,0,47,0,0,0,0,0,0,0,0,0,0,0,31,0
8421,389,0,129,0,118,13,0,0,127,0,0,0,1119,0,0,0,0,0,0,0,0,0,0,0
8422,220,77,84,0,559,0,82,0,76,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
8424,1659,135,279,0,103,0,83,0,0,0,101,0,90,0,0,0,0,0,0,0,0,0,53,0
8425,182,73,0,0,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8426,879,137,2,0,954,0,684,0,0,0,87,0,0,50,0,0,0,0,0,0,0,0,0,0
8427,253,0,3162,0,0,0,0,616,0,51,90,0,0,0,0,0,0,0,0,0,0,0,0,0
8428,34146,0,0,0,0,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8429,451,0,13,0,2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8430,1083,163,552,336,174,0,442,0,87,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0
8431,764,0,44,0,720,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
8432,703,156,32,0,2491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8434,466,101,22,0,1668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8435,596,174,0,0,2700,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0
8437,114,40,46,0,617,0,0,0,0,0,11,0,0,0,0,0,0,13,0,0,0,0,29,0
8438,1575,148,51,0,477,0,203,0,0,0,134,0,178,0,0,0,0,0,0,0,0,0,0,0
8439,115,40,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8440,579,0,83,0,1232,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8441,330,40,105,0,45,0,232,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,47,0
8442,1395,46,489,0,0,0,0,28,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0
8443,713,351,360,0,1617,0,54,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0
8476,1319,0,204,0,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8477,135,66,39,0,494,0,303,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
8639,120,30,18,0,572,0,469,0,0,0,0,0,103,0,0,0,88,0,0,0,0,0,0,0
