pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
1594,0,2274,1033,7492,0,271,1854,0,0,0,2032,0,3631,1038,0,0,0,0,0,0,0,0,0,0
1596,0,0,0,15257,0,0,1868,0,0,0,916,0,8324,0,0,0,0,0,0,0,0,640,0,0
1678,0,981,0,53173,0,0,1789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2656,0,1148,0,78150,0,0,807,0,0,0,0,0,0,339,0,46,0,0,0,0,0,0,0,0
2659,0,650,0,50858,0,0,309,0,0,0,1220,0,0,210,0,0,0,0,0,0,0,0,0,0
2665,2802,1279,0,0,15776,0,0,0,0,0,626,0,2490,0,0,0,0,0,0,0,0,0,0,0
2666,227,140,339,0,1231,0,29,0,0,0,0,0,223,0,0,0,30,0,0,0,0,0,0,85
2668,0,1579,0,17592,0,0,1740,0,0,0,771,0,0,58,0,0,0,0,0,0,0,0,0,0
3771,0,13942,0,89036,0,0,11387,0,0,0,12284,0,7640,0,0,0,0,0,0,0,0,0,0,0
3772,184,176,65,0,1717,0,333,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0
3917,0,1127,0,20452,0,0,2615,0,0,0,905,0,0,0,0,17,0,0,0,0,0,0,0,0
3918,0,829,0,52999,0,0,1552,0,0,0,1515,0,0,487,0,0,0,0,0,0,0,0,0,0
4389,0,1809,0,14188,0,0,2366,0,0,0,1184,0,2106,0,0,0,0,0,0,0,0,0,0,0
4395,0,5310,0,27572,0,0,4754,0,0,0,3268,0,0,0,0,0,0,0,0,0,0,0,0,0
4396,0,1954,0,31159,0,0,4577,0,0,0,1084,0,0,0,0,0,0,0,0,0,0,0,0,0
4397,0,7660,113,85469,0,0,3128,0,0,0,4824,0,5788,0,0,0,0,0,0,0,0,0,0,0
4398,0,4677,0,84302,0,0,7949,199,0,0,2793,0,0,0,0,49,0,0,0,0,0,0,0,0
4422,345,550,1710,33,0,0,0,0,515,29,739,0,311,229,0,0,0,0,0,0,25,0,0,0
4432,0,2414,0,65881,0,0,3209,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0
4486,0,1859,0,8658,0,0,1293,0,0,0,1544,0,8,0,0,3,0,0,0,0,0,0,0,0
4510,424,242,0,3258,2002,0,361,0,0,0,192,0,8,0,0,0,0,0,0,0,0,0,0,0
4512,1031,375,0,0,2466,0,270,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
4628,1076,696,259,0,4587,0,2413,0,0,0,742,0,0,3885,0,0,0,0,0,0,0,0,0,424
4630,835,3392,1667,0,0,0,5848,256,523,0,1914,0,0,0,0,0,0,0,0,0,0,0,0,0
4659,0,429,0,25104,0,0,1003,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
4666,0,1697,0,43220,0,0,1487,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
5066,0,1505,0,31325,0,0,4290,0,0,0,1040,0,0,0,0,0,0,0,0,0,0,0,0,0
5147,493,314,0,0,3404,0,0,0,0,0,181,0,0,197,0,0,0,0,0,0,0,0,0,0
5429,1702,187,0,0,794,0,287,52,0,0,148,0,5,0,0,0,0,0,0,0,0,0,55,0
5645,658,276,0,681,1746,0,0,0,0,0,216,0,703,600,0,0,0,0,0,0,0,0,0,0
5930,0,0,0,166418,0,0,818,0,0,0,0,0,0,110,0,62,0,0,0,0,0,0,0,0
5932,0,402,0,10355,0,0,1869,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
