pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
4101316,0,0,0,0,1632,0,1271,63,0,0,0,0,0,391,236,0,0,0,0,0,0,0,124,864
4102009,1142,197,0,0,3087,0,694,5980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4103141,629,255,0,0,1686,0,149,3562,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0
4104893,344,136,0,0,1474,0,1406,3522,0,92,0,516,0,0,0,0,0,0,0,0,0,0,0,0
4105105,0,0,0,422,0,587,1157,661,0,0,0,0,0,1482,0,926,0,0,0,0,0,0,0,0
4105746,0,0,0,1378,0,0,0,0,0,0,0,0,0,60304,0,18448,0,0,0,0,0,0,0,0
4107137,0,226,0,0,3090,0,2466,868,0,0,0,786,0,1754,1048,0,0,0,0,0,0,0,0,5407
4108101,526,0,244,0,1148,0,1715,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710
4108992,1559,408,861,0,1180,0,2080,4227,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0
4110378,741,283,0,0,1555,0,307,4104,0,0,0,0,0,0,0,0,86,0,0,0,175,0,0,0
4111326,652,0,0,0,3409,0,571,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
4111337,804,553,0,0,18820,0,0,3696,0,0,0,904,0,0,0,0,0,0,0,0,0,0,0,0
4112447,769,262,516,0,0,0,2639,2252,0,0,0,0,0,0,0,0,0,0,0,80,0,311,0,267
4112512,325,43,57,0,1877,0,0,447,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0
4113191,691,0,513,12,0,0,0,6784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
4113825,561,143,0,0,361,0,993,1086,0,0,0,0,0,0,533,0,0,0,0,0,54,0,0,0
4115001,671,464,1615,0,0,0,421,2662,0,0,0,0,0,2345,353,0,0,0,0,0,0,0,0,1253
4116738,293,851,3370,0,0,0,620,2961,105,0,1000,671,0,1414,0,0,0,0,0,0,0,0,0,0
4119027,0,0,0,1978,0,0,0,0,0,0,0,13,0,11531,0,0,0,0,0,0,0,0,0,0
4119279,0,0,0,26,0,0,3515,2384,0,0,0,267,0,4202,0,2506,0,0,0,0,0,0,0,0
