pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
A148,0,628,0,0,0,0,4179,712,175,0,0,222,1876,0,0,0,0,0,0,0,0,0,0,0
A185,0,685,0,0,0,0,0,169,0,2572,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A19D,0,596,0,0,3148,0,0,375,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A19E,0,611,12834,0,0,0,0,137,0,0,0,0,0,240,0,0,0,0,0,32,0,0,0,457
A19J,0,1448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A19L,0,158,0,0,0,0,3362,267,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A19T,502,510,5255,0,0,0,0,99,470,124,135,0,158,0,0,0,0,0,0,0,0,0,0,0
A1HV,0,5283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1HW,0,951,0,0,0,0,0,274,0,2918,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1HY,0,944,0,0,0,0,0,2826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1I0,0,1094,0,0,0,0,0,0,0,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1I2,0,98,0,0,0,0,2765,92,344,822,0,122,728,0,0,0,0,0,0,0,0,0,0,0
A1I8,0,295,0,0,0,0,6714,61,99,1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1IC,0,916,0,0,0,0,0,50,0,8002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1Q1,779,356,2332,0,4451,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1Q5,0,252,0,0,0,0,10459,0,128,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0
A1ZD,0,45,2917,0,0,0,0,179,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1ZK,0,1634,0,0,0,0,0,1283,9794,0,0,0,0,0,11299,0,0,0,0,0,0,0,0,0
A1ZP,0,1809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1ZU,1240,240,2627,0,260,0,0,182,0,0,0,0,0,0,0,0,747,0,0,0,0,0,0,0
A24D,0,684,0,0,2965,0,0,436,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A262,0,384,0,0,0,0,0,0,479,0,0,0,2795,0,0,0,0,0,0,0,0,0,0,0
A264,963,772,2478,20,0,0,400,65,186,1069,100,197,292,45,0,0,0,0,0,0,0,0,107,0
A266,0,11244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A26A,0,215,0,0,0,0,4022,0,89,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A26C,0,5002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A29B,0,779,0,0,0,0,0,2476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2A0,0,1695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2GN,0,402,0,0,2075,0,0,0,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2GT,0,467,0,0,0,0,0,2728,306,0,0,0,0,0,0,0,0,0,0,0,0,0,1340,0
A2M5,0,1270,0,0,0,0,0,40999,4165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2MI,0,3575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2NF,79,0,0,0,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3ES,774,91,533,0,106,0,0,0,125,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0
A3F3,0,378,0,0,3448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3F5,0,373,0,0,0,0,7121,88,190,1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3F8,0,2626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3J5,0,1914,0,0,0,0,0,1254,0,21040,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3JI,0,1011,0,0,0,0,0,7210,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3MO,241,121,43,0,0,0,1551,366,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,54
CA-0032,0,74299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA-0033,565,0,6669,0,0,0,0,689,0,0,1655,0,0,0,0,0,0,0,0,0,0,0,0,0
CA-0034,0,1126,0,0,0,0,0,41020,4314,7533,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA-0035,0,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA-0036,362,56,0,0,1734,0,0,0,0,354,0,0,292,0,0,45,0,0,0,0,0,0,0,0
