pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
CA-0005,378,354,3303,31,0,0,1792,0,0,0,327,0,125,0,0,0,0,0,0,0,0,0,0,0
CA-0009,4209,719,508,0,14,0,1007,157,0,0,0,174,0,0,0,0,0,0,0,0,0,0,47,0
CA-0052,3415,139,0,0,0,0,1736,258,0,0,210,0,12,0,0,0,0,0,0,0,0,0,0,0
CA-0152,1900,1045,7319,0,0,0,8583,0,0,0,1312,0,0,0,0,0,0,0,0,0,0,0,0,0
CA-0198,2200,291,328,0,0,0,612,63,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
CA-0208,2731,329,0,0,0,0,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
PM1087-Z1,1726,425,246,0,235,0,706,93,378,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0
PM1144-Z1,1304,132,334,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM1145-X1,488,0,19,0,0,0,45,15,0,0,29,0,338,0,0,0,0,0,0,0,0,0,21,0
PM1157-Z1,3658,1334,0,0,790,0,132,0,134,0,511,101,0,0,0,0,0,0,0,0,53,0,598,0
PM1341-Z2,798,761,4097,0,0,0,4905,0,0,306,623,0,0,0,0,0,0,0,0,0,0,0,0,0
PM1390-Z12,2961,93,380,0,0,0,456,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM1462-Z1,768,158,2987,0,0,0,4057,80,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0
PM389-X1,2862,0,0,0,0,12,1688,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM717-Z1,1588,165,0,100,0,0,703,209,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
PM744-Z1,1006,280,11,0,0,0,597,65,0,0,131,0,0,0,0,0,0,0,0,0,0,0,64,0
PM773-X1,3065,363,0,0,0,0,1561,228,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0
PM813-Z2,7618,234,0,0,0,0,2348,1085,0,0,0,295,0,179,0,0,0,0,0,0,0,0,0,0
