pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
5503,31,0,165,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
5506,52,16,28,0,166,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14
5750,952,165,0,0,1566,0,848,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0
5763,61,28,0,0,129,0,12,0,0,0,0,0,155,8,29,0,0,5,0,0,0,0,0,0
5771,1427,0,154,0,0,0,679,134,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0
5788,359,211,6,0,2510,0,136,73,0,0,127,0,0,0,0,0,0,0,0,0,0,0,91,0
5789,0,0,4,0,152,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6336,1177,0,81,0,0,0,161,52,0,0,0,0,1,187,0,0,0,0,0,0,0,0,0,0
6365,1428,0,80,0,0,0,519,41,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,0
6370,0,0,1,0,183,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7075,1057,128,318,0,0,0,1078,30,0,0,0,0,281,0,0,0,0,0,0,0,0,0,60,0
7079,0,0,14,0,117,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0
7169,1931,63,231,0,0,0,278,29,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0
7233,763,107,48,0,23,0,1135,0,0,0,0,0,623,0,0,0,0,0,0,0,0,0,0,0
7522,710,53,196,0,0,0,107,21,0,0,0,0,77,0,0,0,0,0,0,0,0,0,11,0
7737,227,66,25,0,1067,0,0,54,57,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
7740,446,23,0,0,743,0,68,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
7744,1403,100,127,0,616,0,101,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7791,225,0,137,0,0,79,684,0,0,0,0,0,453,0,0,0,0,0,0,0,0,0,0,0
8258,83,28,25,0,587,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
P01-28,1643,244,0,0,1055,0,1093,50,0,0,128,0,0,0,0,0,0,0,0,7,0,0,20,0
P03-1426,1797,0,336,0,47,0,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P03-2345,1356,48,328,0,0,0,72,57,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0
P04-1084,1795,73,47,0,569,0,263,65,0,0,155,0,0,0,0,0,0,0,0,0,0,0,152,0
P05-1657,498,40,0,0,1386,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
P05-2709,808,23,34,0,464,0,158,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P05-3852,1204,38,186,0,0,0,189,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P05-620,746,178,483,0,419,0,968,231,0,0,148,0,146,9,0,0,0,0,0,0,0,0,0,0
P07-144,897,135,366,0,366,0,1703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0
P07-4941,1402,150,101,0,0,0,290,26,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0
P07-5021,1103,0,152,0,0,0,71,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
P07-5037,1372,94,213,0,0,0,293,0,0,0,0,0,116,41,0,0,0,0,0,0,0,0,51,0
P07-5318,2280,58,381,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P07-837,841,155,2,0,1882,0,0,173,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0
P08-1042,1084,93,426,0,349,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P08-1541,979,145,733,0,0,0,0,43,153,0,0,0,426,0,0,0,0,0,0,42,0,0,35,0
P08-217,1237,46,424,0,0,0,0,34,0,0,0,0,511,0,0,0,0,0,0,0,0,0,0,0
P08-492,1214,0,1220,0,0,0,0,112,0,0,128,0,57,0,0,0,0,0,0,0,0,0,0,0
P08-501,1516,107,166,0,12,0,249,36,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0
P08-5852,525,50,183,0,64,0,325,60,51,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0
P08-688,817,124,424,0,0,0,651,216,0,0,0,0,479,0,0,0,0,0,0,0,0,0,0,0
P08-716,1257,43,245,0,0,0,572,49,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0
P09-37,2371,71,250,0,0,0,406,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0
P09-396,66,0,15,0,470,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P09-628,351,0,210,0,0,0,0,5,92,0,0,0,912,0,0,0,0,0,0,0,0,0,0,0
P09-730,975,103,987,0,147,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,6,0,67,0
PM1002-Z1-1,1717,720,1071,39,596,0,2803,511,0,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM1177-Z1-1,0,505,4430,0,0,722,5644,0,0,0,0,0,254,0,0,0,135,0,0,0,0,0,0,0
PM12-Z10-1,664,678,3833,100,0,0,5020,0,625,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0
PM1282-X1-1,480,114,649,0,6,0,0,223,0,0,0,0,1038,0,0,0,141,0,0,0,0,0,0,0
PM1284-Z1,6602,0,0,0,0,1699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM1388-Brain,3624,566,6719,168,0,0,0,555,0,4953,0,0,0,177,0,0,0,0,0,0,0,0,0,0
PM1411-X1-1,1464,165,329,0,1004,0,1093,174,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0
PM1542-Z1-1,381,178,432,0,1736,0,744,218,0,0,0,0,0,64,0,0,43,0,0,0,0,0,0,0
PM1563-Z1-1,731,190,0,0,821,0,1391,140,0,0,0,0,242,0,0,0,0,0,0,11,0,0,0,0
PM1570-Z1-1,817,166,663,0,958,0,693,64,0,0,0,0,367,0,0,0,102,0,0,0,0,0,0,0
PM159-Z1-1,504,108,0,0,1677,0,106,44,0,0,72,0,5,87,0,0,0,0,0,0,0,0,68,0
PM159-Z13-1,212,0,24,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0
PM159-Z6-1,1005,100,644,0,277,0,0,176,0,0,0,0,121,239,0,0,0,0,0,0,0,0,0,0
PM159-Z7-1,497,59,0,0,1651,0,0,65,0,0,72,0,5,106,0,0,0,0,0,0,0,0,71,0
PM201-Z1-1,2868,268,190,0,0,0,154,111,0,0,227,0,0,187,0,0,0,0,0,0,0,0,0,0
PM3-Z1-2,1480,291,3563,0,0,0,1002,85,0,0,113,0,134,0,0,0,237,0,0,0,0,0,0,0
PM322-Z5-1,812,190,1090,0,1367,0,0,198,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0
PM63-Z10-1,879,170,1380,14,147,0,0,511,210,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0
PM63-Z3-1,659,378,1496,218,0,0,0,431,0,43,214,0,0,0,1035,0,0,667,848,0,0,118,120,0
PM63-Z6-1,604,147,2573,0,0,0,530,381,0,0,0,0,116,0,302,0,0,0,1215,0,95,0,0,0
PM650-Z1,34134,0,0,0,0,8690,0,0,0,0,0,0,0,0,0,0,7566,0,0,0,0,0,0,0
PM677-Z12-1,632,262,252,0,5106,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,125,0
PM677-Z16-1,624,309,344,73,4970,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,128,0
PM677-Z7-1,643,343,168,119,5423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0
PM677-Z9-1,642,326,163,112,5518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0
PM73-X1-1,1669,182,562,0,0,0,1055,66,0,0,0,0,813,0,0,0,0,0,0,0,0,0,0,0
PM735-Z7-1,939,108,387,0,134,0,0,180,0,0,0,0,603,0,0,0,0,0,0,0,0,0,0,0
PM750-Z15,7,7,20,0,0,0,21,1,0,75,5,0,1,0,0,0,0,0,0,0,2,0,0,0
PM750-Z8-1,9,0,78,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM80-Z1-C1,1727,0,648,0,0,0,1423,480,0,0,169,0,0,0,0,0,95,0,0,0,0,0,0,0
PM861-Z5-1,1563,259,79,0,547,0,757,47,0,0,184,0,0,63,0,0,0,0,0,0,0,0,0,0
PM89-ZLN1,1525,44,475,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0
PM897-Z2-1,994,156,71,0,2305,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM90-Z1-1,1824,185,495,0,482,0,321,279,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0
PM90-Z19-1,1187,128,68,0,686,0,52,117,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0
PM90-Z25-1,856,119,38,0,804,0,163,120,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0
PM992-X1-1,1937,169,342,0,0,0,52,231,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0
PR-02-1431,193,88,642,0,0,0,633,146,0,0,0,0,227,0,0,0,79,0,0,0,0,0,0,28
PR-03-3125,729,144,0,0,2113,0,182,69,0,0,79,0,11,0,0,0,0,0,0,0,0,0,0,0
PR-03-728,23,0,0,0,58,0,7,0,0,0,0,0,19,0,0,0,0,0,0,27,1,10,0,0
PR-04-1243,1128,199,10,0,2288,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0
PR-0410,518,0,9,0,662,0,0,0,0,0,0,0,185,0,40,0,0,0,0,0,0,0,0,0
PR-05-3595,1626,61,45,0,0,0,775,57,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0
PR-06-1749,1200,149,0,0,6759,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0
PR-06-3199,1389,53,240,0,0,0,14,30,0,0,0,0,254,87,0,0,0,0,0,0,0,0,25,0
PR-07-3258,129,51,130,0,28,66,558,120,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR-07-360,499,109,134,0,601,0,535,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159
PR-07-4610,1237,134,841,0,168,0,0,239,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0
PR-07-4814,496,87,0,0,77,0,521,92,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0
PR-08-2153,778,98,0,0,359,0,187,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR-08-2455,1700,0,172,0,0,0,411,73,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0
PR-08-4154,434,147,13,0,1803,0,436,110,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
PR-08-556,353,194,104,0,2154,0,291,100,0,0,265,0,0,0,0,0,0,0,0,0,0,0,84,0
PR-08-784,1711,158,362,0,739,0,311,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR-09-146,835,33,73,0,240,0,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR-09-3983,270,429,1299,0,0,0,430,524,0,0,526,0,66,0,0,0,0,0,0,0,0,0,0,0
PR-09-601,273,140,0,0,1586,0,551,228,0,0,129,0,8,0,0,0,0,0,0,0,0,0,0,0
PR-2621,955,108,195,0,709,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR-2741,563,160,394,0,768,0,962,52,177,0,0,0,72,0,0,0,53,0,0,7,0,0,0,0
PR-3042,298,226,0,0,2391,0,714,88,0,0,189,0,18,0,0,0,69,0,0,0,0,0,0,0
PR-4240,659,443,8639,65,0,0,626,62,0,0,175,0,204,0,0,0,0,0,0,0,0,0,0,0
PR-7520,1155,568,6579,115,0,0,6602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR-STID0000000415,1259,71,0,0,2334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR-STID0000002872,829,42,54,0,1397,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR-STID0000003127,783,81,130,0,0,0,414,4,0,0,0,0,543,0,0,0,0,0,0,0,0,0,0,0
