pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
A1KU,543,0,805,0,0,0,4570,29,0,709,234,0,0,0,0,0,0,0,0,0,0,0,0,600
A1KW,427,591,0,0,2073,0,742,0,125,0,255,0,10,0,0,0,0,0,0,0,0,0,0,0
A1L0,742,494,6764,0,0,0,0,175,0,1039,721,0,0,0,0,0,0,0,0,0,0,0,0,0
A1L2,1012,490,5844,0,0,0,709,145,113,2222,600,0,0,0,0,0,0,0,0,0,0,0,0,0
A1L3,350,376,8,0,996,0,1993,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,88,633
A23R,363,0,68,0,0,0,3690,0,0,334,581,0,0,0,0,0,0,0,0,0,0,0,0,432
A240,298,189,3,0,1004,0,328,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,87
A2IZ,386,405,10,51,3346,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0
A2J0,532,508,1492,76,0,0,3572,0,82,62,0,0,0,217,0,674,0,0,0,0,0,0,0,0
A2J4,320,229,175,146,0,0,628,0,0,0,147,0,300,0,109,18,0,0,0,0,0,0,0,432
A2QS,1943,1091,535,0,899,0,4356,0,218,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0
A3K7,0,0,936,0,0,0,4186,0,0,2077,366,0,0,0,0,0,0,0,0,0,0,0,126,3926
A3KA,0,414,217,0,696,890,6055,0,0,91,291,0,0,0,0,0,0,0,0,0,0,0,0,547
A3LS,526,372,368,251,1194,0,934,0,0,0,323,0,0,98,0,103,0,0,0,0,0,0,0,458
A3LT,447,473,52,0,0,0,2787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483
A3LU,293,385,3,0,1684,0,182,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0
A3LW,296,317,699,3,80,0,1598,0,0,124,179,0,0,0,238,0,0,0,0,0,0,0,0,28
A3LY,516,424,372,0,413,0,3316,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,573
A3M1,565,804,335,0,1661,0,1889,0,157,0,364,0,0,109,0,0,0,0,0,0,0,0,0,0
A3M4,305,184,132,87,2972,117,265,0,0,0,0,0,0,0,0,123,0,0,0,0,196,0,0,0
A3M5,1601,0,1232,0,2365,0,0,14,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0
A3NJ,261,0,248,28,0,0,1245,0,0,0,0,0,368,52,0,333,24,0,0,0,0,0,0,212
A3PN,484,350,356,555,3462,0,222,0,0,0,0,0,0,1098,0,0,0,0,0,0,0,0,0,0
A3RE,950,647,1262,145,1368,0,7578,0,682,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0
A3U5,468,118,623,0,0,0,3353,0,0,247,221,0,0,0,0,0,0,0,0,0,0,0,0,262
A3U6,66,177,0,44,295,0,0,0,0,0,61,0,0,121,0,61,0,0,0,0,0,0,0,153
A3U7,788,273,1623,0,895,0,244,0,0,1163,319,0,0,654,0,231,0,0,0,0,0,0,0,0
A3U8,967,0,2240,0,0,0,0,87,0,230,370,85,0,0,0,0,0,0,0,0,0,0,0,0
A43Z,858,275,33,0,9948,0,0,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0
A47R,852,248,476,288,0,0,695,0,180,0,0,239,1202,745,0,0,0,0,0,0,0,0,0,0
A48G,356,259,432,0,2364,0,722,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0
A48U,396,244,2703,336,0,84,0,74,0,1492,269,0,0,444,0,0,0,0,0,0,0,0,0,0
A4AJ,699,445,885,0,2678,0,2615,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4EI,485,99,9,0,3235,0,907,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
A4EK,859,43,931,0,0,0,2171,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A5W3,497,207,116,0,2668,0,869,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0
A6IA,389,209,2479,0,257,0,1396,63,0,895,0,0,0,228,0,0,0,0,0,0,0,0,0,0
A6Z2,834,300,1590,0,0,0,3431,0,344,413,0,0,154,52,0,0,0,0,0,0,0,0,0,0
A95T,223,76,1834,0,0,0,1339,0,0,659,0,0,0,0,0,0,0,0,0,0,0,0,0,35
A9GB,684,191,1915,0,457,0,4922,1410,0,2161,377,0,0,0,0,0,0,0,0,0,0,0,0,0
CA-0104,207,47,0,0,509,0,38,0,0,0,26,26,0,175,0,0,0,0,0,0,0,0,0,0
CA-0116,117,34,0,0,53,0,0,0,0,0,14,0,0,8,0,0,0,0,0,0,11,0,0,0
CA-0120,161403,19543,0,0,885023,0,0,0,0,0,0,0,19772,0,0,5879,0,0,0,0,0,0,0,0
CA-0124,375,0,483,0,1496,0,0,101,0,0,96,0,0,1316,0,0,0,0,0,0,0,0,61,0
CA-0127,212,45,200,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA-0215,6,3,5,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0
CA-0222,12,0,8,10,0,0,0,0,5,16,4,0,1,0,0,0,3,0,0,0,0,0,3,0
CA-0225,112,37,258,0,0,42,310,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,57
CA-0231,42,0,0,0,282,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
PM1473-Z1,269,0,147,0,1636,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0
