pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
4255,3706,386,10,0,223,0,354,124,0,0,0,65,0,231,0,0,0,0,0,0,0,0,50,0
4280,0,0,0,0,0,17130,796,901,0,0,0,4615,0,0,0,0,0,0,0,0,0,0,0,0
4442,0,0,0,0,385,45167,0,371,0,25385,0,4440,214,0,0,0,11361,0,0,0,0,0,0,0
4443,734,533,8861,20,0,0,0,0,0,0,711,0,206,0,0,0,0,0,0,0,0,0,0,0
4474,3859,590,0,0,165,0,446,209,0,0,0,0,0,2809,0,0,0,0,0,0,0,0,0,0
5579,2068,0,1711,0,0,21,1236,2907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5647,2202,922,0,0,1408,0,1360,253,0,0,0,0,0,2480,0,0,0,0,0,0,0,0,0,0
5723,16295,0,0,0,0,20833,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5724,1678,0,0,0,0,191,4130,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5730,3695,2021,563,0,2116,0,5544,126,388,0,1128,0,0,638,0,0,0,0,0,0,0,0,0,0
5799,2074,239,0,0,8,0,1184,90,0,0,190,0,0,442,0,0,0,0,0,0,0,0,0,0
5802,594,676,9,0,2204,0,1039,58,159,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0
6177,19206,0,0,0,0,40778,0,0,0,10984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6452,0,0,0,0,34,59902,0,7208,0,81801,0,44941,1860,0,0,0,44758,0,0,0,5898,0,0,0
6456,1017,307,0,0,1486,0,632,250,0,0,227,0,0,2072,0,0,0,0,0,0,0,0,0,409
6519,1049,603,0,0,3222,0,1643,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6527,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752,0
6528,0,1821,3715,0,0,1359,0,9635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3546,0
6564,1185,330,30,0,555,0,762,42,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0
6815,6332,1016,177,0,1080,0,673,597,0,0,0,0,0,1786,0,0,0,0,0,0,0,0,0,0
6822,0,0,0,0,0,0,2569,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7334,0
6875,7147,830,88,0,204,0,979,328,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0
7136,1345,529,1051,0,5136,0,1912,421,0,0,414,0,0,387,0,0,0,0,0,0,0,0,0,0
7722,2777,351,764,0,1229,0,98,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0
7806,2468,1007,0,0,716,0,747,258,0,0,0,120,0,1336,0,0,0,0,0,0,0,0,0,0
7998,2165,625,0,0,558,0,1412,66,546,0,0,0,0,785,0,0,0,0,0,0,0,0,0,0
8245,2823,374,0,0,5,0,1609,777,0,0,277,210,0,141,0,0,0,0,0,0,0,0,0,0
8373,3452,437,508,0,0,0,3926,1918,0,0,803,0,0,0,0,0,0,0,0,0,0,0,0,0
8381,2441,900,0,0,2410,0,1228,127,611,0,0,0,0,2207,0,0,0,0,0,0,0,0,545,0
8486,2780,356,0,0,1040,0,670,70,0,0,232,0,0,100,0,0,0,0,0,0,0,0,0,0
8529,0,2224,17935,51,0,0,11317,1464,0,0,2671,434,0,0,0,0,0,0,0,0,0,0,0,0
8570,1401,634,3182,0,409,0,5958,172,164,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0
8608,2344,422,0,0,0,0,25,295,0,0,0,0,3783,1835,0,0,0,0,0,0,0,0,0,0
8682,7027,0,0,0,0,0,27,263,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0
8690,1715,320,1110,0,0,0,1124,13582,0,258,0,453,0,1464,0,0,0,0,0,0,0,0,0,0
A4G6,2867,793,0,0,397,0,2268,247,0,0,0,0,0,1322,0,0,0,0,0,0,141,0,0,0
A4H0,5135,416,0,0,0,0,2580,342,0,0,0,0,8366,3711,0,0,0,0,0,0,0,0,0,0
A4J4,2898,414,0,0,1970,0,314,105,0,0,0,0,0,2409,0,0,0,0,0,0,0,0,0,0
A4YX,3722,605,0,0,931,0,365,87,0,0,0,0,0,1960,0,0,0,0,0,0,0,0,0,0
CA-0051,1963,103,0,0,966,0,650,64,0,0,154,0,0,1009,0,0,0,0,0,0,0,0,127,0
CA-0053,552,1831,3652,0,0,767,7526,299,471,0,1377,0,0,64,0,0,0,0,0,0,0,0,0,0
CA-0065,618,94,551,0,0,0,711,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0
PM631-Z1,12174,0,0,0,0,13031,0,0,0,4528,0,0,0,0,0,0,0,0,0,0,0,0,0,0
