pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
A051,0,0,0,0,0,0,11505,0,0,0,0,792514,0,0,0,18931,7196,0,0,0,0,0,0,0
A052,949,87,0,41,2314,0,0,0,0,0,108,0,0,298,0,0,0,0,0,0,0,0,0,0
A053,1956,218,690,0,622,0,265,0,0,0,0,0,179,639,0,96,0,0,0,0,0,0,0,0
A054,0,0,0,0,0,0,0,5115,0,1142,0,0,0,0,0,1372,0,0,0,0,26,0,0,0
A05A,1231,403,1337,0,1627,0,1356,0,0,0,577,0,0,0,0,0,0,0,0,0,0,0,0,0
A05D,2199,214,1320,0,50,0,0,73,0,0,0,0,1125,157,0,0,0,0,0,0,0,0,0,0
A05S,441,0,0,0,6212,23879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A06B,2248,233,376,0,59,0,236,92,0,0,258,0,1501,0,0,94,0,0,0,0,0,0,0,0
A0CA,1947,84,150,681,0,0,0,0,0,0,0,0,705,746,0,0,0,0,0,0,0,0,0,0
A0CC,929,1187,12,0,4261,0,57,0,0,0,1058,0,0,0,0,0,0,0,0,0,0,0,0,0
A0G9,0,0,0,0,5553,13113,4619,0,0,0,0,0,0,0,0,680,0,0,0,0,0,0,0,601
A0GA,0,0,0,0,1496,14015,0,0,0,3747,0,633,0,0,0,2505,0,0,0,0,206,0,0,542
A0GE,1865,71,195,0,696,0,157,124,0,0,0,0,0,723,0,0,0,0,0,0,0,0,0,0
A0GG,0,0,0,0,1952,6217,0,0,0,943,0,0,0,0,0,5726,0,0,0,0,0,0,0,572
A0GJ,791,0,7966,150,0,0,1391,153,0,740,333,0,0,0,0,0,0,0,0,0,0,0,187,0
A0J1,1269,0,0,0,0,147224,0,0,0,0,0,113989,0,0,0,0,0,0,0,0,0,0,0,0
A0JN,2016,2231,3556,742,245,0,5644,408,0,811,1827,0,0,2830,0,0,0,0,0,0,0,0,0,0
A0K3,850,288,0,14,2307,0,846,242,0,0,256,169,0,630,0,0,0,0,0,0,0,0,0,0
A0K8,625,2075,0,0,3199,0,0,0,0,0,1079,0,0,258,0,0,0,0,0,0,0,0,0,0
A0L8,1160,110,2068,0,3075,0,1322,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0L9,984,1073,803,0,1925,0,3709,242,0,0,1064,0,0,0,0,0,0,0,0,0,0,0,0,0
A0LD,8749,0,0,0,0,2152,0,319,0,0,0,0,0,0,0,13453,0,0,0,0,0,0,0,0
A0LE,0,0,0,0,3378,18226,0,0,0,1329,0,438,0,0,0,10631,0,0,0,0,0,0,0,1321
A0LH,1107,531,0,229,1249,0,460,50,0,0,0,115,7,526,0,0,0,0,0,0,0,0,85,0
A0LI,612,2558,5129,0,0,0,2184,289,0,0,2368,0,854,247,0,0,0,0,0,0,0,0,0,0
A0LL,1063,387,0,0,1455,0,0,0,0,0,0,0,0,643,0,0,0,0,0,0,0,0,0,179
A0LO,0,0,0,245469,0,0,0,0,0,0,0,0,0,1173329,0,205,0,0,0,0,0,0,0,0
A0TC,0,0,0,0,0,0,0,0,0,0,0,0,0,9781,0,0,0,0,0,0,0,0,1196,0
A0TD,2330,271,0,0,1088,0,0,0,0,0,0,0,5,354,0,0,0,0,0,0,0,0,0,0
A0TE,0,4104,0,0,20684,634,0,0,0,0,0,10300,0,0,0,432,2902,0,0,0,0,0,0,0
A0TG,2955,349,7,206,308,0,0,23,0,0,0,0,0,1023,0,0,0,0,0,0,0,0,0,0
A0V8,925,219,724,0,4045,0,4820,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0
A11G,0,0,0,0,0,6305,0,3973,0,41086,0,0,36,0,0,0,0,0,0,0,1018,0,0,0
A11H,0,0,0,0,0,33269,0,0,0,17053,0,0,0,0,0,5241,0,0,0,0,0,0,0,2154
A139,1458,433,6327,75,0,0,0,197,0,2444,166,0,0,1377,0,0,0,0,0,0,0,0,0,0
A16G,1792,725,0,0,876,0,928,5,0,0,569,0,1,76,0,0,0,0,0,0,0,0,0,0
A17K,1530,0,453,0,2798,0,676,93,0,0,179,0,0,0,0,0,0,0,0,87,0,0,0,0
A18C,1519,0,1802,0,217,14,35,55,0,941,252,0,138,0,0,0,0,0,0,0,0,0,0,0
A1C8,940,700,0,473,0,0,1952,269,0,0,780,0,0,5213,0,1923,0,0,0,0,0,0,0,0
A1CI,2580,80,0,0,0,0,492,104,0,0,0,0,245,382,0,0,0,0,0,0,0,0,0,0
A1GS,0,12460,0,11536,0,0,0,0,0,0,11034,0,0,33222,0,1143,0,0,0,0,0,0,0,0
A1GW,3278,92,879,0,826,0,157,156,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0
A1LZ,0,6693,0,7796,0,0,4055,225,0,0,10259,0,0,25302,0,0,0,0,0,0,0,0,0,0
A1MY,0,0,0,23764,0,0,0,0,0,0,0,0,0,126172,0,1674,0,0,0,0,0,0,0,0
A1NN,1536,651,0,0,1576,0,1685,153,0,0,369,0,7,134,0,0,0,0,0,0,0,0,0,0
A1Y8,955,857,0,2038,0,0,1160,0,0,0,1063,0,0,5448,0,0,0,0,0,0,0,0,0,1095
A23M,1150,1680,7060,74,0,0,0,33,153,0,2909,0,0,1167,0,0,0,0,0,0,0,0,0,0
A26L,1724,238,474,761,0,0,464,195,0,676,154,0,367,824,0,367,0,0,0,0,0,0,0,0
A2H5,889,550,53,0,3399,0,2843,0,0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0
