pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
0055e71c7c03d4ff4d57cd363f052914434bd306aff231125413c4703a30c84e,2582,623,623,0,0,0,834,1176,0,0,0,0,0,10184,0,0,0,0,0,0,0,0,0,0
0124,4167,0,913,0,0,0,1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0125,7424,0,1,0,0,0,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0128,1068,0,340,0,0,0,0,149,0,995,140,0,984,0,0,0,0,0,0,0,0,0,0,0
0145,8462,0,0,0,0,0,1849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0152,4271,0,227,0,0,0,2334,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0155,4955,0,0,0,0,0,1695,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
0171,4964,0,0,0,0,0,1737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0185,3865,0,0,0,0,0,877,0,0,0,0,0,2,0,0,0,0,75,0,0,0,0,0,0
0190,5852,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0210,5434,0,20,0,0,0,1397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0211,4778,0,0,0,0,0,2243,32,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0
0214,4362,158,648,0,0,0,874,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0
0221,1158,0,401,0,412,0,0,42,0,585,159,0,309,0,0,0,0,0,0,0,0,0,0,0
0289a1f386ad8b0778979ad178afc509fd403a198c98b926a7d2866fb0f886fc,4481,1351,988,0,0,0,589,219,0,0,0,0,0,2886,0,0,0,0,0,0,0,0,0,0
02cc37502f6301e4feb5b9b80e2ddbb71dd875d54eb8cf012348502978492251,1229,220,374,0,0,0,1016,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,0
02d3c7c002a875493e63877e5517b7432c95b2b522ba67384c873737b9bab3b7,173,0,378,0,0,0,0,144,0,1680,0,0,0,0,0,105,0,0,0,0,10,0,0,0
03037cb67402cd2882ddc346bbbcacf2574475a18fef75aa96b2e42fc90532d9,1837,0,0,0,0,0,1661,2151,0,0,0,462,0,1868,0,0,0,0,0,0,0,0,0,0
040c323ac201378d9e3acb214b1420e07867e7f6ed2f255f9226ea0c7e2e6f62,6942,379,1918,0,0,0,992,1493,0,0,0,0,0,4493,0,0,0,0,0,0,0,0,0,0
04616fe602821be83f79e051c94c28347907f72d4e9ed5d7f1f50d4cfcd71d01,0,381,1395,0,0,1868,0,4176,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0,0
04f3767cc1c78f1c22b06d659d308741a588e272ee723b39f744913ad669cd6e,0,0,0,0,0,28455,0,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04feb20b0eef08db14ff7df6ef52bd0f71fbaebc9fbb6099da2dafedd1ddef9a,1805,436,717,0,1123,0,2321,99,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,0
04feb20b0eef08db14ff7df6ef52bd0f71fbaebc9fbb6099da2dafedd1ddef9a.2,1239,739,6774,0,0,0,1787,124,111,0,701,0,0,0,0,0,0,0,0,0,0,0,0,0
05fb093d1b2af292cf0795316e9afefc4407f42256c914edeee9ac881e1d435c,2744,3714,0,0,0,0,375,333,0,0,993,0,0,978,0,0,0,0,0,0,59,0,0,0
0648,3714,152,0,0,0,0,4022,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0
0690f491108b0e56fd9901e02e68a918868ec8c5ab8772bcd8ae6ff931169d84,973,0,0,0,0,0,2034,615,0,0,0,0,0,1824,0,0,93,0,0,0,0,0,0,0
071d0791a2371be080640b76eab4cf34bedc1198d4e58a37992e39e66ad2ed34,1145,45,224,0,258,0,6,36,0,227,0,0,139,0,0,0,226,0,0,0,0,0,0,0
0723,1353,240,1478,0,0,0,1005,0,0,0,218,0,1004,0,0,0,0,0,0,0,0,0,0,0
0725,195,0,2512,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,34,0,0
0727,685,289,136,0,2699,0,1155,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0
0744,6859,0,0,0,0,0,3690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
