pair,type,burden
0055e71c7c03d4ff4d57cd363f052914434bd306aff231125413c4703a30c84e,del,25
0124,del,0
0125,del,4
0128,del,0
0145,del,10
0152,del,4
0155,del,1
0171,del,3
0185,del,4
0190,del,6
0208,del,4
0210,del,4
0211,del,2
0214,del,0
0221,del,0
0289a1f386ad8b0778979ad178afc509fd403a198c98b926a7d2866fb0f886fc,del,23
02cc37502f6301e4feb5b9b80e2ddbb71dd875d54eb8cf012348502978492251,del,13
02d3c7c002a875493e63877e5517b7432c95b2b522ba67384c873737b9bab3b7,del,0
03037cb67402cd2882ddc346bbbcacf2574475a18fef75aa96b2e42fc90532d9,del,17
040c323ac201378d9e3acb214b1420e07867e7f6ed2f255f9226ea0c7e2e6f62,del,24
04616fe602821be83f79e051c94c28347907f72d4e9ed5d7f1f50d4cfcd71d01,del,24
04f3767cc1c78f1c22b06d659d308741a588e272ee723b39f744913ad669cd6e,del,6
04feb20b0eef08db14ff7df6ef52bd0f71fbaebc9fbb6099da2dafedd1ddef9a,del,8
04feb20b0eef08db14ff7df6ef52bd0f71fbaebc9fbb6099da2dafedd1ddef9a.2,del,28
05fb093d1b2af292cf0795316e9afefc4407f42256c914edeee9ac881e1d435c,del,11
0648,del,0
0690f491108b0e56fd9901e02e68a918868ec8c5ab8772bcd8ae6ff931169d84,del,6
071d0791a2371be080640b76eab4cf34bedc1198d4e58a37992e39e66ad2ed34,del,3
0723,del,14
0725,del,22
0727,del,5
0744,del,4
0745,del,5
0751,del,21
078773cc36a9ab58ece5c92e50368462dea52ded70f1b0da8c66e65066a3ce53,del,25
0877,del,4
0881,del,0
0890,del,41
0906,del,46
0912,del,8
0934,del,10
0937,del,17
0938,del,58
0963f143cc945f2bf680c16240ac6b8d44b6c39c65453f32bc773408db826c31,del,22
0980,del,8
0982,del,8
0985a2e91070b77b0b7c61278b04d7c88864c3bc670f211bdb54bd09d271e986,del,22
0a60808f0d6e3b778273f426eeaa59435f9142b824da06a11ffc421128afb5dd,del,66
0a85375cbfa23eb57f9647c13fd4a774922afd325ecca61ecb70f165f9e4a2e7,del,36
0b64dd9e11bfd9b7413d9bc770587b6a011e6946109f1ded24bc92444941450f,del,5
0c18dae928d5146c8b0d052a9ceffa02ef1e1dcd70f6e5c321dc37c264d9c9d8,del,1
0c596e131276a9448805de75baf6d331353edc214a9edfb7c6f41908d6d3130f,del,23
0c78eb71d79db50fbce1e174c7f14f47c7422346bc9f161ae36160f5c06d2fbd,del,32
0de0307feaaebcd92622acc19aae9d7ee9ba2f58ebfbfa0f8523e7c4f1b6b3ed,del,14
0df54561b9dfce1f7cc6d2858f039c4303727558615b8b64364b09c963da19f2,del,36
0f48df24681bff9daca43ea351a061173146b5a347774916fe4c683d65016d10,del,14
0f4a8719dbb0caa2e8b638fe74d6c6dac6ca5ee91e4423e421a2f013170a0ca9,del,21
1005-24097-96Y-31--1005-25055N-116Z-BLD,del,4
1005-24100-96Y-27--1005-25055N-116Z-BLD,del,8
1005-24106-127B-25--1005-25055N-116Z-BLD,del,9
1005-25105-127B-30--1005-25055N-116Z-BLD,del,3
1016,del,48
1034,del,0
