pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
1005-24097-96Y-31--1005-25055N-116Z-BLD,2339,378,203,0,0,0,680,869,0,0,0,0,0,1367,0,0,0,0,0,0,0,0,0,0
1005-24100-96Y-27--1005-25055N-116Z-BLD,4390,702,0,0,0,0,1762,1491,0,0,0,0,0,3180,0,0,0,0,0,0,0,0,0,0
1005-24106-127B-25--1005-25055N-116Z-BLD,4786,737,0,0,0,0,1094,2097,0,0,0,0,0,4579,0,0,0,0,0,0,0,0,0,0
1005-25105-127B-30--1005-25055N-116Z-BLD,1743,768,279,0,0,0,619,1238,0,0,0,0,0,1554,489,0,203,0,0,0,0,0,0,0
1047-24271-180B-32--1047-24964N-180B-GST,2049,219,0,0,0,0,980,334,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0
1047-24274-180B-28--1047-24964N-180B-GST,2264,262,0,0,0,0,957,528,0,0,354,0,0,913,0,0,0,0,0,0,0,0,0,0
1047-24277-101D-30--1047-24964N-180B-GST,1502,358,0,0,0,0,704,146,0,0,303,0,0,458,0,0,0,0,0,2,0,0,0,0
1047-24280-101D-28--1047-24964N-180B-GST,1714,0,0,0,0,0,805,391,0,0,0,0,0,724,0,0,0,0,0,0,0,0,0,0
126-24343-135F-31--126-25058N-31X-BLD,287,0,0,0,0,0,144,1941,0,0,0,190,0,327,0,0,0,0,0,0,0,0,0,0
126-24346-287R-31--126-25058N-31X-BLD,0,0,0,0,0,0,91,2249,0,0,0,398,0,242,0,0,0,0,0,0,0,0,0,0
126-24349-287R-33--126-25058N-31X-BLD,0,0,0,0,0,0,3,1784,0,0,0,233,0,1,0,0,0,0,0,0,0,0,0,0
126-24352-37Z-30--126-25058N-31X-BLD,0,0,0,0,0,0,232,1944,0,0,0,261,0,120,0,0,0,0,0,0,0,0,0,0
126-24355-37Z-32--126-25058N-31X-BLD,0,0,0,0,0,0,123,1674,0,0,0,241,0,109,0,0,0,0,0,0,0,0,0,0
126-24631-135F-31--126-25058N-31X-BLD,0,0,0,0,0,0,126,1781,0,0,0,429,0,217,0,0,0,0,0,0,0,0,0,0
130-24295-71S-34--130-24993N-290R-BLD,2245,378,0,0,1293,0,0,45,0,0,0,0,0,1822,0,0,0,0,0,0,0,0,0,0
