pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
0124,4167,0,913,0,0,0,1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0125,7424,0,1,0,0,0,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0128,1068,0,340,0,0,0,0,149,0,995,140,0,984,0,0,0,0,0,0,0,0,0,0,0
0145,8462,0,0,0,0,0,1849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0152,4271,0,227,0,0,0,2334,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0155,4955,0,0,0,0,0,1695,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
0171,4964,0,0,0,0,0,1737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0185,3865,0,0,0,0,0,877,0,0,0,0,0,2,0,0,0,0,75,0,0,0,0,0,0
0190,5852,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0210,5434,0,20,0,0,0,1397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0211,4778,0,0,0,0,0,2243,32,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0
0214,4362,158,648,0,0,0,874,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0
0221,1158,0,401,0,412,0,0,42,0,585,159,0,309,0,0,0,0,0,0,0,0,0,0,0
0648,3714,152,0,0,0,0,4022,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0
0744,6859,0,0,0,0,0,3690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0745,2731,0,723,0,0,0,4044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0877,6100,0,501,0,0,0,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0881,83,62,3,0,0,0,314,20,17,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
1034,6584,0,0,0,0,0,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,6326,0,2328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
