pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
3308,415,264,1718,0,1082,0,1379,103,421,0,0,0,0,0,0,0,0,0,0,111,0,0,294,0
3324,6433,832,0,0,36991,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0
3363,191,95,9,0,3542,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,121,0
3370,0,144,256,0,2664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0
3372,465,308,2279,0,3016,0,0,115,0,0,78,0,0,0,0,0,0,0,0,0,0,0,205,0
3387,0,214,453,28,1770,0,1536,106,0,0,136,0,0,94,0,0,0,0,0,0,0,0,135,0
3428,252,269,3681,136,0,0,0,73,393,0,0,0,0,83,0,0,0,0,0,0,0,0,66,0
3454,0,145,510,0,2652,70,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,36,0,0
3455,336,229,215,0,1700,0,1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0
3924,292,234,287,0,3457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0
4099,271,211,235,470,3213,0,299,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
4101,203,192,466,619,1334,0,1075,63,117,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0
4102,183,192,1218,33,661,0,1066,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,158,143
4326,434,272,742,29,1405,0,1512,188,299,0,185,0,0,477,0,0,0,0,0,0,0,0,152,0
4327,568,146,590,776,1234,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4639,200,180,661,0,613,0,1561,65,285,0,46,0,0,0,0,0,0,0,0,0,0,0,185,0
4756,153,231,406,0,3006,0,1178,76,0,0,0,0,0,0,0,0,0,125,0,0,0,0,58,0
4781,532,306,66,33,2881,0,2296,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,172,0
4807,0,147,388,279,1803,0,888,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,78,0
4856,204,153,1108,341,1405,0,0,43,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
4870,308,219,1311,0,952,0,1260,73,113,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0
4878,335,202,1122,0,1522,0,1085,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0
4885,667,361,691,0,4994,0,331,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0
4899,0,103,364,0,918,0,899,94,0,0,36,0,0,0,0,0,0,0,0,0,0,49,113,0
4918,0,305,262,33,524,0,4184,34,0,0,0,0,0,191,0,0,0,0,0,0,0,0,185,673
4968,272,182,361,8,760,0,1675,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0
4977,408,73,7,374,2293,0,603,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0
5010,340,241,557,140,1591,0,1607,164,0,0,176,0,0,87,0,0,0,0,0,0,0,0,138,0
5094,365,333,702,0,3587,0,765,108,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0
5168,0,350,4278,0,2449,0,114,584,0,0,89,0,0,0,0,0,0,0,0,0,0,0,350,0
5453,320,139,11,0,4546,0,727,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,168,0
5454,239,180,1156,22,1535,0,112,57,0,0,48,0,0,0,152,0,0,0,0,0,0,0,133,0
5566,243,185,961,449,245,0,1144,0,315,0,0,0,0,0,181,0,0,0,0,0,0,0,115,0
5585,235,185,583,14,1189,0,979,54,0,0,0,0,0,0,0,0,0,0,205,0,0,0,143,0
5633,224,120,8,0,1671,0,683,0,0,0,89,0,0,0,79,0,0,0,0,0,0,0,65,0
5635,209,74,199,0,3805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0
5681,199,179,801,0,1262,0,0,112,0,0,136,78,0,31,0,0,0,0,0,0,0,0,0,0
5682,504,297,1333,0,1939,0,1944,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5693,0,139,311,0,2031,0,410,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,94,0
5695,354,0,757,27,2193,0,2237,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,146,273
5987,265,184,29,0,2173,0,784,45,0,0,111,0,0,0,0,0,0,0,0,0,0,0,103,0
6033,179,337,7,43,2833,0,1822,0,196,0,211,0,0,0,0,0,0,0,0,0,0,0,151,0
6087,302,223,521,0,3065,0,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0
