pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
3466,360,334,0,0,2553,0,439,55,0,0,122,140,0,0,0,0,0,0,0,0,0,0,0,0
3467,196,0,0,0,3,0,366,0,0,0,0,0,285,0,114,0,0,0,0,0,0,0,0,0
3468,443,313,367,0,3810,0,1494,105,0,0,221,0,0,0,0,0,0,0,0,0,0,0,274,0
3472,0,149,327,0,2190,0,445,54,0,0,35,0,0,0,0,0,0,0,0,0,0,0,101,0
3473,225,181,1529,0,869,0,42,0,0,0,0,0,521,0,0,0,0,0,213,0,0,0,151,0
3925,0,288,966,0,3886,0,757,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0
3926,153,100,209,0,357,0,399,0,0,0,0,0,406,0,386,0,0,0,0,0,0,0,0,0
4103,0,161,739,0,1777,0,818,158,0,0,0,0,0,0,0,0,0,52,228,0,0,44,0,0
4104,1298,1469,315,0,0,0,0,0,0,0,2028,56,1411,171,0,0,0,0,0,0,0,0,0,0
4113,0,236,1557,0,2183,0,71,301,0,0,53,0,0,0,0,0,0,48,0,0,0,0,196,0
4114,0,239,2264,0,2192,0,0,105,0,0,0,0,0,0,0,0,0,76,0,0,0,0,445,0
4115,0,169,1441,0,1699,0,0,71,0,0,0,0,0,0,0,0,0,39,0,0,0,0,371,0
4116,412,297,3395,0,1930,0,415,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0
4117,174,156,932,0,1623,0,0,121,0,0,0,0,0,0,0,0,0,43,0,0,0,0,134,0
4617,0,169,858,0,2256,0,257,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A40X,145,93,297,0,1595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
A40Y,404,0,2613,0,3051,0,0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0
A44B,0,432,1459,0,6246,0,1254,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,0
A47M,0,332,798,0,5135,0,119,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0
A47N,127,0,353,0,372,0,0,0,0,0,0,0,890,0,0,0,0,54,0,0,0,0,0,0
A47O,0,50,155,0,2321,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
A48D,0,315,3021,0,2066,0,1000,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0
A4EM,0,196,2201,23,1985,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0
A4ZT,0,229,837,0,2724,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0
A55W,0,233,2376,0,1993,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0
A55Z,0,342,2556,0,3515,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0
A560,99,180,1171,0,1785,0,0,66,0,0,0,0,0,0,85,0,0,123,0,0,0,0,157,0
A561,0,332,2484,0,3136,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,0
A562,0,184,273,0,3334,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
A57E,537,346,10,341,3032,0,1256,103,182,0,178,0,0,0,0,0,0,0,0,0,0,0,295,0
A59R,0,267,232,0,5333,0,301,95,0,0,0,0,0,0,0,122,0,137,0,0,0,0,188,0
A5DJ,565,774,0,0,2697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A5NF,0,99,7,0,3213,0,889,101,0,0,139,0,0,0,0,0,0,131,0,0,0,0,268,0
A5NH,0,260,938,0,4430,0,59,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,399,0
A5NI,0,365,3757,0,3033,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,0
A5NJ,378,222,3703,0,453,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0
A5NK,0,301,488,0,4942,0,351,82,0,0,0,0,0,0,0,0,0,149,0,0,0,0,223,0
A5NL,0,195,712,0,1996,0,1280,70,0,0,0,0,0,0,0,0,0,61,160,0,0,0,277,0
PM1099-Z12,1029,26234,0,0,2559,0,0,0,0,0,24131,0,0,0,0,0,0,0,0,0,0,0,0,0
PM922-Z2,1471,36271,4980,0,0,0,0,0,0,0,21415,0,8395,0,0,0,0,0,1017,0,0,0,0,0
