pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
1016,0,762,0,39166,0,0,2082,0,0,0,1421,0,2573,0,0,141,0,0,0,0,0,0,0,0
1076,0,1790,30,28697,0,0,1603,0,0,0,1856,0,3331,0,0,0,0,0,0,0,0,0,0,0
1078,1013,1292,72,0,0,0,103,0,0,0,1588,0,728,0,0,0,0,0,0,0,0,0,0,0
1082,0,3555,0,26836,0,0,3244,0,0,0,4240,0,1333,0,0,0,0,0,0,0,0,0,0,0
1083,0,5577,0,86348,0,0,3479,0,0,0,5265,0,8239,0,0,0,0,0,0,0,0,1222,0,0
1622,0,1312,0,28532,1718,0,2926,0,0,0,1198,0,3230,0,0,0,0,0,0,0,0,0,0,0
2596,0,3449,0,22830,0,0,3320,0,0,0,2777,0,4981,0,0,0,0,0,0,0,0,881,0,0
2600,0,7837,55,25253,0,0,3239,0,0,0,6277,0,4774,0,0,0,0,0,0,0,0,0,0,0
2695,0,1007,0,18001,0,0,1987,0,0,0,855,0,4765,0,0,0,0,0,0,0,0,0,0,0
2698,0,19868,5835,40013,0,0,5105,0,0,0,29879,0,7660,0,0,0,0,0,0,0,0,0,0,0
2711,642,1419,1246,4689,0,0,2728,0,0,0,1416,0,4597,0,0,0,0,0,0,0,109,0,0,0
2713,0,2276,997,19122,0,196,1682,0,0,4005,2427,0,1693,0,0,0,0,0,0,0,0,0,0,0
2719,1587,1038,0,14447,3464,0,0,0,0,3571,675,0,2058,0,0,0,0,0,0,0,0,0,0,0
2722,0,4826,74,24003,0,0,4764,0,0,0,3652,0,8610,0,0,0,0,0,0,0,0,1429,0,0
2724,0,1804,68,35376,0,0,1202,0,0,0,1234,0,6183,0,0,0,0,0,0,0,0,523,0,0
2726,0,4197,107,35502,0,0,5333,0,0,0,2876,0,9467,0,0,0,0,0,0,0,0,2130,0,0
2744,0,3062,152,24921,0,0,2910,0,0,0,3098,0,6656,0,0,0,0,0,0,0,0,0,0,0
2756,0,1081,0,59084,0,0,7483,0,0,0,1845,0,0,0,0,0,0,0,0,0,0,0,0,0
2757,0,575,0,22030,0,0,3239,0,0,0,924,0,5794,0,0,0,0,0,0,0,0,377,0,0
2759,2899,5204,1733,36000,0,0,1998,0,0,11938,5814,0,199,0,0,448,0,0,0,0,0,1406,0,0
2766,0,6978,778,27842,0,0,3375,396,0,0,5744,0,6341,0,0,0,0,0,0,0,0,0,0,0
2789,0,0,87,35394,0,0,5245,0,0,689,3565,0,10070,0,0,0,0,0,0,0,0,616,0,0
2793,0,667,1446,24738,6081,0,4870,737,0,2178,1346,0,2256,0,0,0,0,0,0,0,0,457,0,0
2795,0,2843,0,40423,642,0,5623,0,0,0,2167,0,2405,0,0,0,0,0,0,0,0,569,0,0
3394,0,1162,0,19350,231,0,2213,0,0,1968,0,0,2517,0,0,0,0,0,0,0,0,657,0,0
3408,308,616,0,2472,7032,0,0,0,0,0,393,0,10,221,0,0,0,0,0,0,0,0,0,0
3415,0,4598,2686,3519,267,983,2669,0,541,0,2574,0,5403,4667,0,0,0,0,0,0,0,0,0,0
3920,0,4106,182,25297,0,258,1956,0,0,0,3242,0,6307,0,0,0,0,0,0,0,0,0,0,0
4135,0,2233,0,32994,0,0,3883,0,0,0,1641,0,8665,0,0,0,0,0,0,0,0,0,0,0
4586,0,1103,0,48693,0,0,5666,0,0,0,1956,0,8235,0,0,0,0,0,0,0,0,832,0,0
4721,0,1197,0,10931,9306,0,4139,0,0,0,887,0,22,0,0,0,0,0,0,0,0,0,0,0
5240,0,2894,41,17224,0,0,2708,0,0,0,2549,0,4355,0,0,0,0,0,0,0,0,0,0,0
5477,1021,5321,4430,1141,0,0,1130,0,314,0,5679,0,2162,1773,0,0,0,0,0,0,0,0,0,0
