pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
0723,1353,240,1478,0,0,0,1005,0,0,0,218,0,1004,0,0,0,0,0,0,0,0,0,0,0
0725,195,0,2512,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,34,0,0
0727,685,289,136,0,2699,0,1155,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0
0751,1243,0,1841,0,5785,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0
0890,354,0,5132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0906,613,205,4121,37,0,0,5790,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0
0912,696,77,129,0,1685,0,1360,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0
0934,1698,175,0,0,723,0,408,29,0,0,88,0,0,41,0,0,0,0,0,0,0,0,0,0
0937,761,312,4325,0,1134,0,410,0,0,63,356,0,0,0,0,268,0,0,0,0,0,0,0,0
0938,1136,531,19,0,4070,0,3201,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0
0980,299,374,2686,0,0,0,784,0,239,0,95,0,77,0,0,0,0,0,0,0,120,0,0,0
0982,907,170,902,32,1427,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,405,655,4194,0,0,0,3080,0,383,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0
1110,832,224,8983,0,0,0,4120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1118,83,0,5186,28,0,240,4470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1124,869,325,14060,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0
1319,1854,106,1046,0,491,0,1890,0,0,0,200,0,0,0,0,0,0,0,0,12,0,0,0,0
1331,898,251,10291,0,0,0,1086,0,153,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0
1347,1217,290,7753,0,3732,0,4603,97,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0
1349,635,0,0,0,3749,0,0,0,0,0,154,0,14,0,0,0,0,0,0,0,0,0,0,0
1367,887,243,6805,0,0,0,4399,0,152,0,214,0,230,0,0,136,0,0,0,0,0,0,0,0
1371,556,72,201,0,3376,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0
1411,1731,84,869,0,0,0,1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1419,662,140,622,0,4061,0,1607,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0
1466,906,460,4124,0,812,0,2180,0,217,0,514,0,0,0,0,0,0,0,0,0,0,0,0,0
1477,621,120,0,0,579,0,440,0,0,0,0,0,1,58,47,0,0,0,0,0,0,0,0,0
1487,705,0,1462,0,1659,0,2491,97,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,105
1491,596,267,839,0,2197,0,2000,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0
1514,911,282,1197,0,5047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1542,1448,411,4241,0,1077,0,3259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1544,1875,258,2479,0,292,0,2877,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0
1548,1126,453,3041,0,5905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1552,715,107,12,0,4140,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0
1557,750,246,11510,24,0,0,148,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0
1558,1119,153,12,0,5324,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0
1562,457,199,0,0,2228,0,567,0,0,0,193,0,7,0,0,0,0,0,0,0,0,0,0,0
1570,1891,346,590,0,13683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1571,1312,171,75,0,7701,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
1574,864,0,5747,0,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1614,550,113,4859,0,1009,0,386,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0
1632,597,584,4009,20,0,0,3542,0,0,0,551,0,167,0,0,0,0,0,0,0,0,0,0,0
1634,1269,371,4215,0,2841,0,108,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1666,727,115,5050,0,0,0,154,0,0,137,0,0,655,0,0,128,0,0,0,0,0,0,0,0
2000,692,121,294,0,4655,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,810,573,6696,54,2300,0,0,0,180,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0
2045,505,0,1886,17,1379,0,1759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,756,238,9858,0,0,0,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290,765,0,1700,0,3201,0,3091,0,0,0,632,0,0,0,0,0,0,0,0,0,0,0,0,0
2391,604,352,2420,46,4237,0,202,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,1270,414,692,0,3512,0,3214,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0
