pair,Signature.1,Signature.2,Signature.3,Signature.4,Signature.5,Signature.6,Signature.8,Signature.9,Signature.11,Signature.12,Signature.13,Signature.14,Signature.16,Signature.18,Signature.19,Signature.20,Signature.21,Signature.22,Signature.23,Signature.24,Signature.25,Signature.27,Signature.28,Signature.30
A0Y3,86,66,0,0,167,0,425,0,112,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0
A0Z2,349,38,26,0,1281,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0
A0ZB,265,190,0,0,1853,0,0,0,0,0,86,0,497,0,0,0,0,0,0,0,0,0,0,0
A13L,159,362,549,0,0,0,18,0,0,0,333,0,466,0,0,0,0,0,0,0,0,0,0,202
A13R,184,94,0,0,314,0,250,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
A13W,143,53,0,0,555,0,299,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,49
A191,237,472,0,0,1209,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0
A1QL,66,0,0,0,1040,137,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,31
A22O,252,47,0,0,237,0,294,0,322,0,0,0,902,0,0,0,0,0,0,0,0,0,0,0
A22Z,191,139,0,0,804,0,595,0,140,0,83,0,319,0,0,0,39,0,0,0,0,0,0,0
A233,60,0,0,0,34,0,121,0,0,0,0,0,41,0,13,0,0,0,0,0,0,0,0,56
A28T,4,0,32,0,26,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,20
A28V,192,0,43,0,883,0,317,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,190
A2CN,189,0,345,0,0,0,0,0,0,0,0,0,619,0,0,0,0,0,0,0,0,0,0,283
A2CP,51,66,0,0,171,0,0,0,0,0,49,0,0,0,0,9,0,0,0,7,18,0,0,134
A2CU,78,54,0,0,417,0,115,0,0,0,48,0,1,0,50,0,0,0,0,0,0,0,0,0
A2N1,87,0,0,0,621,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
A2OL,125,0,16,0,476,0,32,0,17,0,0,0,6,0,0,0,0,0,0,0,0,0,0,53
A2OV,164,0,11,0,0,0,526,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,244
A2OW,121,42,163,0,0,0,0,0,0,0,0,0,316,0,98,0,0,0,0,0,0,0,0,0
A2Q1,46,40,0,0,540,0,0,0,0,0,22,0,4,0,0,0,0,0,0,0,0,0,0,0
A2Q2,363,0,0,0,2366,0,0,0,0,0,73,0,10,0,0,0,0,0,0,0,0,0,0,0
A2Q8,57,0,161,0,138,0,0,0,0,0,5,0,0,0,23,0,0,0,0,0,0,0,0,75
A2QD,214,0,112,0,0,0,222,0,0,0,0,0,160,0,0,0,26,0,0,0,0,0,0,95
A3AL,162,0,0,0,643,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
