# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_exon_variant	variants_effect_protein_protein_contact	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
A1CF	A1CF	NM_001198818.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A1CF	A1CF	NM_001198819.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A1CF	A1CF	NM_001198820.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A1CF	A1CF	NM_014576.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A1CF	A1CF	NM_138932.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A1CF	A1CF	NM_138933.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AADAC	AADAC	NM_001086.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AADACL2-AS1	AADACL2-AS1	NR_110202.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	AADACL2-AS1	NR_110203.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA12	ABCA12	NM_015657.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA12	ABCA12	NM_173076.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA12	ABCA12	NR_103740.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCA13	ABCA13	NM_152701.4		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA4	ABCA4	NM_000350.2		0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCB1	ABCB1	NM_000927.4		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCB5	ABCB5	NM_001163941.1		0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCB5	ABCB5	NM_178559.5		0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABCC12	ABCC12	NM_033226.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC4	ABCC4	NM_001105515.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC4	ABCC4	NM_001301829.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
